timestamp,rss,heapTotal,heapUsed,external,arrayBuffers
1708687702620,172339200,45428736,25499864,2260211,16615
1708687703622,172339200,45428736,25503160,2260211,16615
1708687704622,172339200,45428736,25504928,2260211,16615
1708687705623,172339200,45428736,25511040,2260211,16615
1708687706624,218533888,45428736,26274360,3643072,1399148
1708687707625,221085696,45428736,26345040,3717539,1399148
1708687708626,221085696,45428736,26348304,3717539,1399148
1708687709628,221085696,45428736,26350024,3717539,1399148
1708687710629,212873216,27865088,25880328,2334678,16615
1708687711631,212873216,27865088,26099176,2334678,16615
1708687712632,212873216,27865088,26103408,2334678,16615
1708687713632,212873216,27865088,26111488,2334678,16615
1708687714633,212873216,27865088,26113272,2334678,16615
1708687715635,212873216,27865088,26115280,2342870,24807
1708687716635,212873216,27865088,26117112,2342870,24807
1708687717636,213143552,27865088,26418440,2847405,529342
1708687718638,213143552,27865088,26420288,2847405,529342
1708687719640,213143552,27865088,26422024,2847405,529342
1708687720639,213143552,27865088,26423760,2847405,529342
1708687721640,213118976,27865088,26425496,2847405,529342
1708687722641,213094400,27865088,26428936,2847405,529342
1708687723643,213094400,27865088,26430704,2847405,529342
1708687724645,213094400,27865088,26432440,2847405,529342
1708687725646,213483520,27865088,26632856,3351940,1033877
1708687726647,213483520,27865088,26635008,3351940,1033877
1708687727647,213483520,27865088,26636744,3351940,1033877
1708687728648,213770240,28127232,27038152,3856475,1538412
1708687729648,214036480,28127232,27188792,4361010,2042947
1708687730649,214036480,28127232,27191040,4361010,2042947
1708687731649,215478272,29175808,26872160,3726642,1407340
1708687732650,218255360,29175808,26939400,3801337,1407340
1708687733651,218255360,29175808,26941528,3801337,1407340
1708687734651,218255360,29175808,27089824,4305872,1911875
1708687735652,218255360,29175808,27091944,4305872,1911875
1708687736653,218525696,29175808,27240944,4810407,2416410
1708687737654,218525696,29175808,27242784,4810407,2416410
1708687738655,218525696,29175808,27244576,4810407,2416410
1708687739655,218525696,29175808,27246440,4810407,2416410
1708687740656,218796032,29175808,27395984,5314942,2920945
1708687741657,218796032,29175808,27397872,5314942,2920945
1708687742658,218796032,29175808,27399608,5314942,2920945
1708687743659,218796032,29175808,27401344,5314942,2920945
1708687744660,218796032,29175808,27403080,5314942,2920945
1708687745662,218796032,29175808,27406768,5314942,2920945
1708687746662,218828800,29175808,27408504,5314942,2920945
1708687747664,218787840,29175808,27410272,5314942,2920945
1708687748665,218787840,29175808,27412064,5314942,2920945
1708687749666,218787840,29175808,27413856,5314942,2920945
1708687750666,218787840,29175808,27415648,5314942,2920945
1708687751667,218787840,29175808,27417440,5314942,2920945
1708687752668,218787840,29175808,27419232,5314942,2920945
1708687753669,218787840,29175808,27421024,5314942,2920945
1708687754670,218787840,29175808,27422816,5314942,2920945
1708687755671,218787840,29175808,27424608,5314942,2920945
1708687756673,218787840,29175808,27426400,5314942,2920945
1708687757674,218787840,29175808,27428192,5314942,2920945
1708687758675,218787840,29175808,27429984,5314942,2920945
1708687759676,218787840,29175808,27431776,5314942,2920945
1708687760676,218787840,29175808,27433568,5314942,2920945
1708687761677,217894912,28651520,26938736,2847405,529342
1708687762679,217894912,28651520,26940528,2847405,529342
1708687763681,217894912,28651520,26942264,2847405,529342
1708687764682,217894912,28651520,26944000,2847405,529342
1708687765683,217894912,28651520,26945736,2847405,529342
1708687766684,217894912,28651520,26949152,2847405,529342
1708687767685,217894912,28651520,26950888,2847405,529342
1708687768687,217894912,28651520,26952624,2847405,529342
1708687769688,217894912,28651520,26954360,2847405,529342
1708687770689,217894912,28651520,27098656,3351940,1033877
1708687771690,217894912,28651520,27100824,3351940,1033877
1708687772691,217894912,28651520,27102560,3351940,1033877
1708687773690,217894912,28651520,27104296,3351940,1033877
1708687774692,217894912,28651520,27106032,3351940,1033877
1708687775693,217894912,28651520,27109416,3351940,1033877
1708687776694,217894912,28651520,27111152,3351940,1033877
1708687777695,217894912,28651520,27112888,3351940,1033877
1708687778697,217894912,28651520,27114624,3351940,1033877
1708687779698,217894912,28651520,27116360,3351940,1033877
1708687780698,218165248,28651520,27260248,3856475,1538412
1708687781699,218165248,28651520,27262400,3856475,1538412
1708687782700,218165248,28651520,27264192,3856475,1538412
1708687783702,218165248,28651520,27265984,3856475,1538412
